,Region,age_cat,sum_pop,key
123,Menabe,"[30,40)",82093,ME
124,Menabe,"[40,50)",54098,ME
125,Menabe,"[50,60)",29262,ME
126,Menabe,"[60,Inf)",24444,ME
127,Sava,"[0,10)",276933,SA
128,Sava,"[10,20)",296148,SA
129,Sava,"[20,30)",196053,SA
130,Sava,"[30,40)",139955,SA
131,Sava,"[40,50)",100070,SA
132,Sava,"[50,60)",59328,SA
133,Sava,"[60,Inf)",55285,SA
134,Sofia,"[0,10)",433370,SO
135,Sofia,"[10,20)",406678,SO
136,Sofia,"[20,30)",257906,SO
137,Sofia,"[30,40)",166267,SO
138,Sofia,"[40,50)",112076,SO
139,Sofia,"[50,60)",68175,SO
140,Sofia,"[60,Inf)",63119,SO
141,Vakinankaratra,"[0,10)",596493,VA
142,Vakinankaratra,"[10,20)",530240,VA
143,Vakinankaratra,"[20,30)",314603,VA
144,Vakinankaratra,"[30,40)",234183,VA
145,Vakinankaratra,"[40,50)",183102,VA
146,Vakinankaratra,"[50,60)",115776,VA
147,Vakinankaratra,"[60,Inf)",105262,VA
148,Vatovavy-Fitovinany,"[0,10)",448382,VF
149,Vatovavy-Fitovinany,"[10,20)",379397,VF
150,Vatovavy-Fitovinany,"[20,30)",238680,VF
151,Vatovavy-Fitovinany,"[30,40)",152915,VF
152,Vatovavy-Fitovinany,"[40,50)",105588,VF
153,Vatovavy-Fitovinany,"[50,60)",65904,VF
154,Vatovavy-Fitovinany,"[60,Inf)",49791,VF
