"","age","status","Number","Simul","regID","regNV","startV","vPerD","vpd","vo","acceptV","effV","totalvac"
"32889",3,"allD",4,10,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32899",4,"allD",10,10,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32909",5,"allD",10,10,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32919",6,"allD",9,10,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"32929",7,"allD",19,10,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328610",1,"allD",0,11,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328710",2,"allD",4,11,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328810",3,"allD",7,11,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328910",4,"allD",6,11,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329010",5,"allD",12,11,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329110",6,"allD",19,11,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329210",7,"allD",15,11,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328611",1,"allD",1,12,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328711",2,"allD",2,12,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328811",3,"allD",9,12,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328911",4,"allD",7,12,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329011",5,"allD",10,12,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329111",6,"allD",11,12,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329211",7,"allD",23,12,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328612",1,"allD",0,13,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328712",2,"allD",3,13,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328812",3,"allD",4,13,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328912",4,"allD",11,13,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329012",5,"allD",12,13,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329112",6,"allD",17,13,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329212",7,"allD",22,13,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328613",1,"allD",0,14,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328713",2,"allD",2,14,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328813",3,"allD",2,14,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328913",4,"allD",8,14,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329013",5,"allD",9,14,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329113",6,"allD",22,14,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329213",7,"allD",21,14,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328614",1,"allD",1,15,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328714",2,"allD",3,15,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328814",3,"allD",6,15,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328914",4,"allD",12,15,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329014",5,"allD",11,15,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329114",6,"allD",20,15,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329214",7,"allD",21,15,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328615",1,"allD",1,16,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328715",2,"allD",0,16,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328815",3,"allD",2,16,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328915",4,"allD",5,16,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329015",5,"allD",14,16,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329115",6,"allD",14,16,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329215",7,"allD",19,16,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328616",1,"allD",0,17,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328716",2,"allD",2,17,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328816",3,"allD",5,17,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328916",4,"allD",9,17,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329016",5,"allD",15,17,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329116",6,"allD",12,17,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329216",7,"allD",13,17,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328617",1,"allD",0,18,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328717",2,"allD",4,18,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328817",3,"allD",7,18,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328917",4,"allD",7,18,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329017",5,"allD",7,18,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329117",6,"allD",16,18,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"329217",7,"allD",19,18,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328618",1,"allD",0,19,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328718",2,"allD",3,19,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328818",3,"allD",6,19,"AL",249986,10,5140,10,1,0,0.9,5134839.2
"328918",4,"allD",12,19,"AL",249986,10,5140,10,1,0,0.9,5134839.2
